DOI,f_avg_core_width_,f_Ms_emu_g_MNP,f_Hc_,c_core_composition,c_dopant_element_1,c_dopant_element_2,c_is_coated,f_H_,f_FCY_,f_conc_MNP_mg_mL,c_shape_type,c_magnetic_phase,SAR_W_g,f_avg_core_sd_ _BOTH,f_area_volume_ratio,f_Mr_Ms_BOTH,f_dopant_ratio_1,f_dopant_ratio_2
10.1016/ j.jallcom.2023.169327,10.13,39.7,26,Fe3O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,29.61,,,0.01,,
10.1016/ j.jallcom.2023.169327,17.26,80.74,13,NiFe2O4,,,PVP,170,332.8,10,spherical,superparamagnetic,54.714,,,0.011,,
10.1016/ j.jallcom.2023.169327,17.26,80.74,13,NiFe2O4,,,PVP,170,332.8,7.5,spherical,superparamagnetic,51.066,,,0.011,,
10.1016/ j.colsurfa.2024.136027,17.26,80.74,13,NiFe2O4,,,PVP,170,332.8,5,spherical,superparamagnetic,38.622,,,0.011,,
10.1016/ j.colsurfa.2024.136027,17.26,80.74,13,NiFe2O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,36.047,,,0.011,,
10.1016/ j.colsurfa.2024.136027,10.88,66.17,218,CoFe2O4,,,PVP,170,332.8,10,spherical,superparamagnetic,30.575,,,0.14,,
10.1016/ j.colsurfa.2024.136027,10.88,66.17,218,CoFe2O4,,,PVP,170,332.8,7.5,spherical,superparamagnetic,24.031,,,0.14,,
10.1016/ j.ceramint.2025.02.245,10.88,66.17,218,CoFe2O4,,,PVP,170,332.8,5,spherical,superparamagnetic,22.759,,,0.14,,
10.1016/ j.ceramint.2025.02.245,10.88,66.17,218,CoFe2O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,20.897,,,0.14,,
10.1016/ j.ceramint.2025.02.245,9.95,38.78,18,ZnFe2O4,,,PVP,170,332.8,10,spherical,superparamagnetic,23.495,,,0.014,,
10.1016/ j.ceramint.2025.02.245,9.95,38.78,18,ZnFe2O4,,,PVP,170,332.8,7.5,spherical,superparamagnetic,17.165,,,0.014,,
10.1016/ j.jpcs.2025.112992,9.95,38.78,18,ZnFe2O4,,,PVP,170,332.8,5,spherical,superparamagnetic,25.104,,,0.014,,
10.1016/ j.jpcs.2025.112992,9.95,38.78,18,ZnFe2O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,19.909,,,0.014,,
10.1016/ j.jpcs.2025.112992,10.004,26.26,16.64,MgFe2O4,,,PVP,170,332.8,10,spherical,superparamagnetic,20.598,,,0.019,,
10.1016/ j.jpcs.2025.112992,10.004,26.26,16.64,MgFe2O4,,,PVP,170,332.8,7.5,spherical,superparamagnetic,19.161,,,0.019,,
10.1016/ j.jallcom.2026.186576,10.004,26.26,16.64,MgFe2O4,,,PVP,170,332.8,5,spherical,superparamagnetic,14.311,,,0.019,,
10.1016/ j.jallcom.2026.186576,10.004,26.26,16.64,MgFe2O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,12.185,,,0.019,,
10.1016/ j.jallcom.2026.186576,10,4.26,54.62,SnFe2O4,,,PVP,170,332.8,10,spherical,superparamagnetic,18.345,,,0.08,,
10.1016/ j.jallcom.2026.186576,10,4.26,54.62,SnFe2O4,,,PVP,170,332.8,7.5,spherical,superparamagnetic,12.874,,,0.08,,
10.1016/ j.powtec.2023.118720,10,4.26,54.62,SnFe2O4,,,PVP,170,332.8,5,spherical,superparamagnetic,7.081,,,0.08,,
10.1016/ j.powtec.2023.118720,10,4.26,54.62,SnFe2O4,,,PVP,170,332.8,2.5,spherical,superparamagnetic,9.61,,,0.08,,
10.1016/ j.powtec.2023.118720,11,52.38,4,gamma-Fe2O3,,,,170,332.8,10,nanocubes,superparamagnetic,122.06,1,,0.007,,
10.1016/ j.inoche.2025.115268,12,54.32,4,gamma-Fe2O3,Co,,,170,332.8,10,nanocubes,superparamagnetic,68.1,1,,0.006,0.01,
10.1016/ j.inoche.2025.115268,12,59.78,15.94,gamma-Fe2O3,Co,,,170,332.8,10,nanocubes,superparamagnetic,38.1,1,,0.026,0.03,
10.1016/ j.inoche.2025.115268,12,64.73,11.25,gamma-Fe2O3,Co,,,170,332.8,10,nanocubes,superparamagnetic,57.89,1,,0.018,0.05,
10.1016/ j.inoche.2025.115268,11.1,58.8,,Fe3O4,,,,170,169,10,irregular,ferrimagnetic,12.34,,,,,
10.1016/ j.inoche.2025.115268,11.1,58.8,,Fe3O4,,,,170,332,10,irregular,ferrimagnetic,16.11,,,,,
10.1016/ j.inoche.2025.115268,13.5,20.8,0,Fe3O4,,,pyrrole,170,169,10,spherical,superparamagnetic,24.27,,,,,
10.1016/ j.ceramint.2024.11.118,13.5,20.8,0,Fe3O4,,,pyrrole,170,332,10,spherical,superparamagnetic,28.24,,,,,
10.1016/ j.ceramint.2024.11.118,25,33.83,53,MgFe2O4,,,,167.6,265,2,spherical,ferrimagnetic,38,2,,,,
10.1016/ j.ceramint.2024.11.118,25,33.83,53,MgFe2O4,,,,167.6,265,5,spherical,ferrimagnetic,50,2,,,,
10.1016/ j.ceramint.2024.11.118,37,45,0,beta-NaFeO2,,,,167.6,267,2,spherical,superparamagnetic,48.15,,,0,,
10.1016/ j.ceramint.2024.11.118,13,64,0,MnFe2O4,,,PVP,167.6,265,5,spherical,superparamagnetic,346.73,,,0,,
10.1016/ j.ceramint.2024.11.118,13,64,0,MnFe2O4,,,PVP,167.6,265,10,spherical,superparamagnetic,225.07,,,0,,
10.1016/ j.inoche.2024.112796,5.6,39,0,CoFe2O4,,,,167.55,276,5,spherical,ferrimagnetic,65,,,,,
10.1016/ j.inoche.2024.112796,5.6,39,0,CoFe2O4,,,,167.55,276,10,spherical,ferrimagnetic,55,,,,,
10.1016/ j.inoche.2024.112796,6.8,58.28,2.58,MnFe2O4,,,,167.55,276,5,spherical,ferrimagnetic,55,,,,,
10.1016/ j.inoche.2024.112796,6.8,58.28,2.58,MnFe2O4,,,,167.55,276,10,spherical,ferrimagnetic,25,,,,,
10.1016/ j.inoche.2024.112796,5.1,33.02,0,CoFe2O4,,,Au,167.38,276,5,spherical,superparamagnetic,33.38,0.5,,,,
10.1016/ j.inoche.2024.112796,5.1,33.02,0,CoFe2O4,,,Au,167.38,276,10,spherical,superparamagnetic,16.91,0.5,,,,
10.1016/ j.inoche.2025.115815,6,58.28,0,MnFe2O4,,,,167.18,276,,spherical,,16,,,,,
10.1016/ j.inoche.2025.115815,4.5,42.59,7.65,CoFe2O4,,,,167.18,276,5,spherical,superparamagnetic,32.81,0.5,,,,
10.1016/ j.inoche.2025.115815,4.5,42.59,7.65,CoFe2O4,,,,167.18,276,10,spherical,superparamagnetic,17.89,0.5,,,,
10.1016/ j.inoche.2025.115815,3.3,,,Fe3O4,,,dextran,165.92,520,,,,120,,,,,
10.1016/ j.inoche.2025.115815,13.1,,,Fe3O4,,,amisilane (APTES),165.92,520,,,,146,,,,,
10.1016/ j.inoche.2025.115815,3.3,,,Fe3O4,,,dextran,165.92,520,,spherical,superparamagnetic,120,,,,,
10.1016/ j.physb.2022.413993,13.1,,,Fe3O4,,,Amisilan,165.92,520,,spherical,superparamagnetic,146,,,,,
10.1016/ j.physb.2022.413993,150.9,74.3,,Fe3O4,,,,165.9,166.4,,,Superparamagentic,23.5,,,,,
10.1016/ j.physb.2022.413993,100,61.945,,Fe3O4,,,"PF127, CA",165,330,10,spherical,superparamagnetic,10.79,,,,,
10.1016/ j.physb.2022.413993,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,1.25,spherical,superparamagnetic,6.5,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,2.5,spherical,superparamagnetic,10,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,5,spherical,superparamagnetic,13,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,10,spherical,superparamagnetic,15,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,20,spherical,superparamagnetic,15.5,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,40,spherical,superparamagnetic,15,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,80,spherical,superparamagnetic,13,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,160,spherical,superparamagnetic,10,1.7,,,,
10.1016/ j.matchemphys.2025.131274,7.4,50,,Fe3O4,,,poly(dimethylsiloxane-co-amipropylmethylsiloxane),164,460,320,spherical,superparamagnetic,7,1.7,,,,
10.1016/ j.matchemphys.2025.131274,70,81.3,185.92,Fe3O4,,,PEI,163.41,110,10,spherical,ferrimagnetic,80,12,,0.36,,
10.1016/ j.matchemphys.2025.131274,4.46,44.7,,Fe3O4,,,"oleic acid ,  Hexadecylamine",163.41,114,,nanorods,superparamagnetic,16.39,,,,,
10.1016/ j.matchemphys.2025.131274,26.79,29,1.39,La0.7Sr0.3MnO3,Sr,,silica,163,300,1,spherical,,158.4,,,,0.3,
10.1016/ j.matchemphys.2025.131274,18,96.1,10.12,Tb0.7Fe2.3O4,Tb,,,162.7,336,1,spherical,superparamagnetic,649,3,,1.61,0.7,
10.1016/ j.matchemphys.2025.131274,13.13,70.6,1.79,Fe3O4,,,,162.4,336,1,spherical,superparamagnetic,169.94,,,,,
10.1016/ j.matchemphys.2025.131274,13.2,49.02,0.82,Fe3O4,Gd,,,162.4,336,1,spherical,superparamagnetic,171.2,,,,0.2,
10.1016/ j.matchemphys.2025.131274,13.67,56.68,1.01,Fe3O4,Gd,,,162.4,336,1,spherical,superparamagnetic,237.59,,,,0.5,
10.1016/ j.matchemphys.2025.131274,14.06,60.68,1.1,Fe3O4,Gd,,,162.4,336,1,spherical,superparamagnetic,257.68,,,,0.7,
10.1016/ j.matchemphys.2025.131274,13,16,40,Zn0.5Ca0.5Fe2O4,Zn,Ca,,162.15,337,1,irregular,superparamagnetic,139.3,,,,0.5,0.5
10.1016/ j.matchemphys.2025.131274,14,22,130,Mg0.5Ca0.5Fe2O4,Mg,Ca,,162.15,337,1,irregular,soft ferrimagnetic,189.4,,,0.18,0.5,0.5
10.1016/ j.matchemphys.2025.131274,55,42.59,140,NiFe2O4,,,,162.03,337,,spherical,ferrimagnetic,461,,,,,
10.1016/ j.matchemphys.2025.131274,13.6,8.67,121.37,ZnFe2O4,Zn,,,161.98,336,1,spherical,superparamagnetic,82.81,2,,0.15,1,
10.1016/ j.molliq.2024.126314,13.6,8.67,121.37,ZnFe2O4,Zn,,,161.98,336,3,spherical,superparamagnetic,41.45,2,,0.15,1,
10.1016/ j.molliq.2024.126314,13.6,8.67,121.37,ZnFe2O4,Zn,,,161.98,336,5,spherical,superparamagnetic,7.56,2,,0.15,1,
10.1016/ j.molliq.2024.126314,13.9,18.32,86.735,Mn0.25Zn0.75Fe2O4,Mn,Zn,,161.98,336,1,spherical,superparamagnetic,141.65,2,,0.25,0.25,0.75
10.1016/ j.molliq.2024.126314,13.9,18.32,86.735,Mn0.25Zn0.75Fe2O4,Mn,Zn,,161.98,336,3,spherical,superparamagnetic,62.23,2,,0.25,0.25,0.75
10.1016/ j.molliq.2024.126314,13.9,18.32,86.735,Mn0.25Zn0.75Fe2O4,Mn,Zn,,161.98,336,5,spherical,superparamagnetic,44.55,2,,0.25,0.25,0.75
10.1016/ j.molliq.2024.126314,14.1,30.8,59.74,Mn0.5Zn0.5Fe2O4,Mn,Zn,,161.98,336,1,spherical,superparamagnetic,151.99,2,,0.15,0.5,0.5
10.1016/ j.molliq.2024.126314,14.1,30.8,59.74,Mn0.5Zn0.5Fe2O4,Mn,Zn,,161.98,336,3,spherical,superparamagnetic,64.92,2,,0.15,0.5,0.5
10.1016/ j.molliq.2024.126314,14.1,30.8,59.74,Mn0.5Zn0.5Fe2O4,Mn,Zn,,161.98,336,5,spherical,superparamagnetic,49.71,2,,0.15,0.5,0.5
10.1016/ j.molliq.2024.126314,14.8,38.9,37.22,Mn0.75Zn0.25Fe2O4,Mn,Zn,,161.98,336,1,spherical,superparamagnetic,173.24,3,,0.06,0.75,0.25
10.1016/ j.jmmm.2025.173216,14.8,38.9,37.22,Mn0.75Zn0.25Fe2O4,Mn,Zn,,161.98,336,3,spherical,superparamagnetic,107.12,3,,0.06,0.75,0.25
10.1016/ j.jmmm.2025.173216,14.8,38.9,37.22,Mn0.75Zn0.25Fe2O4,Mn,Zn,,161.98,336,5,spherical,superparamagnetic,105.42,3,,0.06,0.75,0.25
10.1016/ j.jmmm.2025.173216,15.7,14.72,69.35,MnFe2O4,Mn,,,161.98,336,1,spherical,superparamagnetic,96.96,3,,0.13,1,0
10.1016/ j.jmmm.2025.173216,15.7,14.72,69.35,MnFe2O4,Mn,,,161.98,336,3,spherical,superparamagnetic,42.94,3,,0.13,1,0
10.1016/ j.jmmm.2025.173216,15.7,14.72,69.35,MnFe2O4,Mn,,,161.98,336,5,spherical,superparamagnetic,35.7,3,,0.13,1,0
10.1016/ j.mtcomm.2025.112975,11,65.75,90,Fe3O4,,,TREG,160,166.12,33.33,spherical,superparamagnetic,8.9,,,,,
10.1016/ j.mtcomm.2025.112975,11,65.75,90,Fe3O4,,,TREG,160,166.12,16.66,spherical,superparamagnetic,13,,,,,
10.1016/ j.mtcomm.2025.112975,11,65.75,90,Fe3O4,,,TREG,160,166.12,8.32,spherical,superparamagnetic,19.53,,,,,
10.1016/ j.mtcomm.2025.112975,11,65.75,90,Fe3O4,,,TREG,160,166.12,4.16,spherical,superparamagnetic,27.09,,,,,
10.1016/ j.matchemphys.2021.124546,11,65.75,90,Fe3O4,,,TREG,160,166.12,0.83,spherical,superparamagnetic,131.86,,,,,
10.1016/ j.matchemphys.2021.124546,11.1,58.8,,Fe3O4,,,,160,469,10,irregular,ferrimagnetic,31.8,,,,,
10.1016/ j.matchemphys.2021.124546,13.5,20.8,0,Fe3O4,,,pyrrole,160,469,10,spherical,superparamagnetic,53.77,,,,,
10.1016/ j.matchemphys.2021.124546,15,,,Fe3O4,,,dextran,159.64,250,,,,46,,,,,
10.1016/ j.matchemphys.2021.124546,15,,,Fe3O4,,,dextran,159.64,250,,spherical,superparamagnetic,46,,,,,
10.1016/ j.matchemphys.2021.124546,11.3,70,14,Fe3O4,,,amisilane (APTES),157.13,100,100,spherical,superparamagnetic,140,,High,0.02,,
10.1016/ j.matchemphys.2021.124546,7.5,25.85,,Mn0.5Zn0.5Fe2O5,Zn,Mn,lauric acid,157.1,330,0.35,nanocube,superparamagnetic,4.8,1.4,,,0.5,0.5
10.1016/ j.matchemphys.2021.124546,9.6,31.92,,Mn0.6Zn0.4Fe2O5,Zn,Mn,lauric acid,157.1,330,0.35,nanocube,superparamagnetic,17.5,0.1,,,0.4,0.6
10.1016/ j.matchemphys.2024.129477,11.6,39.81,,Mn0.7Zn0.3Fe2O5,Zn,Mn,lauric acid,157.1,330,0.35,nanocube,superparamagnetic,43.1,0.5,,,0.3,0.7
10.1016/ j.matchemphys.2024.129477,11.7,41.5,,Mn0.8Zn0.2Fe2O5,Zn,Mn,lauric acid,157.1,330,0.35,nanocube,superparamagnetic,56.4,0.5,,,0.2,0.8
10.1016/ j.matchemphys.2024.129477,12.3,31.54,,Mn0.9Zn0.1Fe2O5,Zn,Mn,lauric acid,157.1,330,0.35,nanocube,superparamagnetic,195.4,0.5,,,0.1,0.9
10.1016/ j.matchemphys.2024.129477,33.3,76,62.85,MnFe2O4,,,,153.8,355,,spherical,superparamagnetic,965,,,,,
10.1016/ j.matchemphys.2024.129477,30.7,39.2,153,Fe3O4,,,APTMS and Ag,150,15,,Round,soft ferromagnetic,2.12,,High,,,
10.1016/ j.matchemphys.2024.129477,12,37.6,300,CoFe2O4,,,,150,20,333.33,spherical,ferromagnetic,0.0857,,High,,,
10.1016/ j.matchemphys.2024.129477,17,34.7,300,CoFe2O4,,,ZnS,150,20,333.33,spherical,soft ferromagnetic,0.0878,,High,,,
10.1016/ j.matchemphys.2024.129477,17,32.5,100,CoFe2O4,,,ZnS,150,20,333.33,spherical,soft ferromagnetic,0.0879,,High,,,
10.1016/ j.matchemphys.2024.129477,17,30.6,100,CoFe2O4,,,ZnS,150,20,333.33,spherical,soft ferromagnetic,0.1254,,High,,,
10.1016/ j.matchemphys.2024.129477,17,29.8,100,CoFe2O4,,,ZnS,150,20,333.33,spherical,soft ferromagnetic,0.1329,,High,,,
10.1016/ j.matchemphys.2024.129477,17,29.4,90,CoFe2O4,,,ZnS,150,20,333.33,spherical,soft ferromagnetic,0.1265,,High,,,
10.1016/ j.matchemphys.2024.129477,9.7,54.1,57,Fe3O4,,,,150,10,333.33,semi-spherical,soft ferromagnetic,1.6,1.7,,,,0.22
10.1016/ j.matchemphys.2024.129477,9.7,54.1,57,Fe3O4,,,,150,15,333.33,semi-spherical,soft ferromagnetic,2.1,1.7,,,,0.22
10.1016/ j.matchemphys.2024.129477,9.7,54.1,57,Fe3O4,,,,150,20,333.33,semi-spherical,soft ferromagnetic,2.9,1.7,,,,0.22
10.1016/ j.jallcom.2023.172999,7.5,38.1,59,Fe3O4,,,CDs,150,20,333.33,semi-spherical,soft ferromagnetic,2.5,1.9,,,,0.12
10.1016/ j.jallcom.2023.172999,7.4,33.5,61,Fe3O4,,,CDs,150,20,333.33,semi-spherical,soft ferromagnetic,2.3,1.6,,,,0.11
10.1016/ j.jallcom.2023.172999,7.2,28.9,65,Fe3O4,,,CDs,150,20,333.33,semi-spherical,soft ferromagnetic,1.7,1.6,,,,0.12
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,86,50,spherical,,13.5,2.5,,,,
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,86,100,spherical,,13.2,2.5,,,,
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,235,50,spherical,,94.4,2.5,,,,
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,235,100,spherical,,92.5,2.5,,,,
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,460,50,spherical,,316.3,2.5,,,,
10.1016/ j.matchemphys.2024.130045,18,60,,Fe3O4,,,oleic acid,150,460,100,spherical,,309.8,2.5,,,,
10.1016/ j.matchemphys.2024.130045,11.1,36.3,6,Co0.2Zn0.8Fe2O4,Zn,Co,,150,340,1,spherical,superparamagnetic,75.8,1.7,,,0.2,0.8
10.1016/ j.inoche.2022.110000,11.1,33.4,17,Co0.2Zn0.8Fe2O4,Zn,Co,chitosan,150,340,1,spherical,superparamagnetic,126.1,1.7,,,0.2,0.8
10.1016/ j.inoche.2022.110000,42.2,26.8,68,Fe3O4,,,PEI,150,335,1,spherical,superparamagnetic,120.2,24.4,,6.7,,
10.1016/ j.inoche.2022.110000,38.9,49.8,57.3,Fe3O4,,,PEI,150,335,1,nanoflowers,superparamagnetic,132.3,6.1,,7,,
10.1016/ j.inoche.2022.110000,20,73.9,130,Fe3O4,,,PEI,150,335,1,nanorods,superparamagnetic,142.7,4.85,,20.2,,
10.1016/ j.inoche.2022.110000,46.2,84,7.2,Fe3O4,,,PEI,150,335,1,nanocube,superparamagnetic,170,6.4,,1.9,,
10.1016/ j.inoche.2022.110000,6.5,90.2,152.12,Fe3O4,,,,150,245.6,,spherical,Superparamagentic,43.5,2,high,22.4,,
10.1039/ d4ra07910h,14.8,49.9,600,CoFe2O4,,,,150,20,333.3,spherical,ferromagnetic,0.178,2.5,,,,
10.1016/ j.powtec.2026.122122,13.3,45.7,400,"CoFe2O4, rGO",,,Reduced graphene oxide,150,20,333.3,spherical,ferromagnetic,0.272,2.9,,,,
10.1016/ j.powtec.2026.122122,13.3,33.2,400,"CoFe2O4, rGO",,,Reduced graphene oxide,150,20,333.3,spherical,ferromagnetic,0.586,2.9,,,,
10.1016/ j.powtec.2026.122122,13.3,27,400,"CoFe2O4, rGO",,,Reduced graphene oxide,150,20,333.3,spherical,ferromagnetic,0.736,2.9,,,,
10.1016/ j.powtec.2026.122122,14.15,67.4,44,Fe3O4,,,,150,340,1.5,spherical,superparamagnetic,125.8,0.19,,0.05,,
10.1016/ j.powtec.2026.122122,15.08,57,36.9,Fe3O4,,,TA-Fe3+,150,340,1.5,spherical,superparamagnetic,154.2,0.38,,,,
10.1016/ j.ceramint.2022.04.088,24.3,60.6,96,MnTb0.03Fe1.97O4,Tb,,,150,450,1,spherical,,292.3,2.4,,,0.03,
10.1016/ j.ceramint.2022.04.088,8.5,65.5,994,CoFe2O4,,,,150,450,4,,,23,0.2,,0.35,,
10.1016/ j.ceramint.2022.04.088,9.1,44,1828,CoGd0.05Fe1.95O4,Gd,,,150,450,4,,,19.9,0.2,,0.42,0.05,
10.1016/ j.ceramint.2022.04.088,8.8,54.4,1470,CoGd0.15Fe1.85O4,Gd,,,150,450,4,,,25.1,0.1,,0.32,0.15,
10.1016/ j.ceramint.2022.04.088,10.9,31.9,688,CoGd0.25Fe1.75O4,Gd,,,150,450,4,,,18.8,0.1,,0.35,0.25,
10.1016/ j.ceramint.2022.04.088,20.7,53.1,54,Fe3O4,,,,150,15,,spherical,Cubic,2.9,,,,,
10.1016/ j.ceramint.2022.04.088,30.1,80,0.06,Mn0.75Zn0.25Fe2O4,Mn,Zn,,150,200,,spherical,ferrimagnetic,31.42,,,,0.75,0.25
10.1016/ j.ceramint.2022.04.088,29.6,60,0.07,Mn0.75Zn0.25Fe2O4,Mn,Zn,,150,200,,spherical,ferrimagnetic,20.13,,,,0.5,0.5
10.1016/ j.ceramint.2022.04.088,20.3,40,0.08,Mn0.75Zn0.25Fe2O4,Mn,Zn,,150,200,,spherical,ferrimagnetic,20.13,,,,0.25,0.75
10.1016/ j.ceramint.2022.04.088,23,,,Fe2O3,,,Carboxydextran,138.27,410,,,,400,,,,,
10.1016/ j.jcis.2024.05.046,23,,,Fe2O3,,,Carboxydextran,138.27,410,,spherical,ferrimagnetic,400,,,,,
10.1016/ j.jcis.2024.05.046,14,59,0,Fe3O4,,,,138.2,322,1,spherical,superparamagnetic,50.56,,,0,,
10.1016/ j.jallcom.2021.161276,14,59,0,Fe3O4,,,,138.2,322,5,spherical,superparamagnetic,30.04,,,0,,
10.1016/ j.jallcom.2021.161276,14,59,0,Fe3O4,,,,138.2,322,4,spherical,superparamagnetic,30.04,,,0,,
10.1016/ j.jallcom.2021.161276,14,59,0,Fe3O4,,,,138.2,322,5,spherical,superparamagnetic,34.88,,,0,,
10.1016/ j.jallcom.2021.161276,9,66.3,0,Fe3O4,,,TA-ATA,137,751.5,0.5,spherical,superparamagnetic,191.7,3,,,,
10.1016/ j.jallcom.2021.161276,9,66.3,0,Fe3O4,,,TA-ATA,137,751.5,2,spherical,superparamagnetic,272.3,3,,,,
10.1016/ j.jallcom.2021.161276,29.4,77.8,0,Fe3O4,,,TEA-TTEG,137,751.5,0.5,nanoflower,superparamagnetic,847.4,,,,,
10.1016/ j.mtcomm.2025.111966,9,60,0,Fe3O4,,,Oleylamine,136.9,751.5,0.5,spherical,superparamagnetic,36,,,0,,
10.1016/ j.mtcomm.2025.111966,9,60,0,Fe3O4,,,Oleylamine,136.9,751.5,1,spherical,superparamagnetic,31.8,,,0,,
10.1016/ j.inoche.2024.112921,9,60,0,Fe3O4,,,Oleylamine,136.9,751.5,2,spherical,superparamagnetic,17.2,,,0,,
10.1016/ j.inoche.2024.112921,9,60,0,Fe3O4,,,Oleylamine,136.9,751.5,4,spherical,superparamagnetic,7.1,,,0,,
10.1016/ j.inoche.2024.112921,9,60,0,Fe3O4,,,Oleylamine,136.9,751.5,6,spherical,superparamagnetic,8.5,,,0,,
10.1016/ j.inoche.2024.112921,11,65.75,90,Fe3O4,,,TREG,130,329.2,33.33,spherical,superparamagnetic,13.45,,,,,
10.1016/ j.inoche.2024.112921,11,65.75,90,Fe3O4,,,TREG,130,329.2,16.66,spherical,superparamagnetic,19.23,,,,,
10.1016/ j.inoche.2024.112921,11,65.75,90,Fe3O4,,,TREG,130,329.2,8.32,spherical,superparamagnetic,26.89,,,,,
10.1016/ j.inoche.2024.112921,11,65.75,90,Fe3O4,,,TREG,130,329.2,4.16,spherical,superparamagnetic,38.22,,,,,
10.1016/ j.inoche.2024.112921,11,65.75,90,Fe3O4,,,TREG,130,329.2,0.83,spherical,superparamagnetic,103.67,,,,,
10.1016/ j.inoche.2024.112921,9,66.3,0,Fe3O4,,,TA-ATA,129.5,330.3,0.5,spherical,superparamagnetic,140.8,3,,,,
10.1016/ j.inoche.2024.112921,29.4,77.8,0,Fe3O4,,,TEA-TTEG,129.5,330.3,0.5,nanoflower,superparamagnetic,324.1,,,,,
10.1016/ j.inoche.2024.112921,34,30.2,3.06,Mn0.6Ga0.4Fe2O4,Mn,Ga,"pluronic F127, oleic acid",128.21,354,3,spherical,superparamagnetic,15.2,7.5,,0.02,0.6,0.4
10.1016/ j.inoche.2024.112921,34,30.2,3.06,Mn0.6Ga0.4Fe2O4,Mn,Ga,"pluronic F127, oleic acid",128.21,354,4.5,spherical,superparamagnetic,19,7.5,,0.02,0.6,0.4
10.1039/ d5ra04120a,34,30.2,3.06,Mn0.6Ga0.4Fe2O4,Mn,Ga,"pluronic F127, oleic acid",128.21,354,6,spherical,superparamagnetic,20.7,7.5,,0.02,0.6,0.4
10.1039/ d5ra04120a,34,30.2,3.06,Mn0.6Ga0.4Fe2O4,Mn,Ga,"pluronic F127, oleic acid",128.21,354,10,spherical,superparamagnetic,19.5,7.5,,0.02,0.6,0.4
10.1039/ d5ra04120a,15,33.5,3.41,Mn0.6Ga0.4Fe2O4,Mn,Ga,,128.21,354,3,spherical,ferrimagnetic,10.6,2,,0.017,0.6,0.4
10.1039/ d5ra04120a,15,33.5,3.41,Mn0.6Ga0.4Fe2O4,Mn,Ga,,128.21,354,4.5,spherical,ferrimagnetic,13.9,2,,0.017,0.6,0.4
10.1039/ d5ra04120a,15,33.5,3.41,Mn0.6Ga0.4Fe2O4,Mn,Ga,,128.21,354,6,spherical,ferrimagnetic,15.8,2,,0.017,0.6,0.4
10.1039/ d5ra04120a,15,33.5,3.41,Mn0.6Ga0.4Fe2O4,Mn,Ga,,128.21,354,10,spherical,ferrimagnetic,15.6,2,,0.017,0.6,0.4
10.1016/ j.jallcom.2023.172588,20,,,Fe3O4,,,BSA,125.7,512,,sphericals,,109.8,,,,,
10.1016/ j.jallcom.2023.172588,13.8,45.42,0,Mn0.5Zn0.5Fe2O4,Mn,Zn,TMAOH,125.7,333,1.7,Nanoflower,superparamagnetic,47.3,0.3,,,0.5,0.5
10.1016/ j.jallcom.2023.172588,18.1,63.65,0,Mn0.5Zn0.5Fe2O4,Mn,Zn,TMAOH,125.7,333,1.7,Nanoflower,superparamagnetic,22.9,0.4,,,0.5,0.5
10.1016/ j.jallcom.2023.172588,18.5,73.15,0,Mn0.5Zn0.5Fe2O4,Mn,Zn,TMAOH,125.7,333,1.7,Nanoflower,superparamagnetic,36.6,0.3,,,0.5,0.5
10.1016/ j.jallcom.2023.172588,19.2,79.08,0,Mn0.5Zn0.5Fe2O4,Mn,Zn,TMAOH,125.7,333,1.7,Nanoflower,superparamagnetic,360.9,0.3,,,0.5,0.5
